location,percentage_delayed,warehouse_status
"ETAIL PROCESSING UNIT",0.00,Important
ETASHDibrugarhODH_DIB,0.00,Ignore
"ETASHDibrugarhODH_DIB Dibrugarh",0.00,Ignore
ETASHSaukuchiODH_GAU,0.00,Ignore
"ETASHSaukuchiODH_GAU Beltola",0.00,Ignore
"ETASHTezpurODH_TZR TEZPUR",0.00,Ignore
"ETASHZuangtuiODH_AJL Aizawl",0.00,Ignore
ETAWAH,0.00,Ignore
"Etawah, Etawah, UTTAR PRADESH",0.00,Ignore
"Etawah, UTTAR PRADESH, IN",0.00,Ignore
ETTUMANOOR,0.00,Ignore
"ETTUMANOOR, Kottayam, KERALA",0.00,Ignore
EttumanoorHub_EMR,0.00,Ignore
"EttumanoorHub_EMR Ettumanoor",0.00,Ignore
Etwah,0.00,Ignore
EtwahHub_ETW,0.00,Ignore
"EtwahHub_ETW Etwah",0.00,Ignore
"EX AMRAVATI",0.00,Ignore
"EX WASHIM",0.00,Ignore
"Ezhome, Kannur, KERALA",0.00,Ignore
EZHUPUNNA,0.00,Ignore
"FaizabadHub_FZB Faizabad",0.00,Ignore
"Falna, Falna, RAJASTHAN",0.00,Ignore
"FAR APEX/SFC PUD",0.00,Ignore
FARAKKA,0.00,Ignore
"Farangipete, Mangalore, KARNATAKA",0.00,Ignore
"Farhana Store KAWANT",0.00,Ignore
Faridabad,0.00,Ignore
"FARIDABAD - FAR",0.00,Ignore
"FARIDABAD (FDBD)",0.00,Ignore
"Faridabad Hub",0.00,Ignore
"Faridabad Hub Faridabad",0.00,Ignore
"FARIDABAD NEHAR PAR",0.00,Ignore
"FARIDABAD NIT",0.00,Important
"FARIDABAD SERVICE CENTRE",0.00,Important
"FARIDABAD, Delhi NCR, DELHI",0.00,Ignore
"FARIDABAD, HARYANA, IN",0.00,Ignore
FARIDKOT,0.00,Ignore
"Faridkothub_FAD Faridkot",0.00,Ignore
"FAROOG STORE TIRUPUR",0.00,Ignore
Farrukhabad,0.00,Ignore
"FARRUKHABAD OFFICE",0.00,Ignore
FarrukhabadHub_FRR,0.00,Ignore
"FarrukhabadHub_FRR Farrukhabad",0.00,Ignore
Farukhabad,0.00,Ignore
Farukhnagar,0.00,Important
FATEHABAD,0.00,Ignore
"Fatehabad HR, Fatehabad HR, HARYANA",0.00,Ignore
"FatehabadHub_FHB Fatehabad",0.00,Ignore
"Fatehganj, Bareilly, UTTAR PRADESH",0.00,Ignore
Fatehgarh,0.00,Ignore
"Fatehgarh Churiyan, Fatehgarh Churiyan, PUNJAB",0.00,Ignore
"FATEHGARH SAHIB",0.00,Important
FatehGarhchurianODH_FGN,0.00,Ignore
"FatehGarhchurianODH_FGN Fatehgarh",0.00,Ignore
FATEHNAGAR,0.00,Ignore
"Fatehpur RJ, Jhunjhunu, RAJASTHAN",0.00,Ignore
"FATORDA, GOA, IN",0.00,Ignore
"Fatorda, Margao, GOA",0.00,Ignore
FATUHA,0.00,Ignore
FAZILKA,0.00,Ignore
"Fazilka, Punjab, IN",0.00,Ignore
Fazilkahub_FAL,0.00,Ignore
"Fazilkahub_FAL FAZILKA",0.00,Ignore
"FB store NEW DELHI",0.00,Ignore
"FBD/EHV, Delhi NCR, DELHI",0.00,Ignore
"FBD/NIT, Delhi NCR, DELHI",0.00,Ignore
"FBD/NPR, Delhi NCR, DELHI",0.00,Ignore
FerokeHUB_FRK,0.00,Ignore
"FerokeHUB_FRK Calicut",0.00,Ignore
Ferozepur,0.00,Ignore
"ferozepur Jalalpur",0.00,Ignore
"Ferozepur, Ferozepur, PUNJAB",0.00,Ignore
"FerozepurHub_FER Ferozepur",0.00,Ignore
FerozepurRoadHub_LUH,0.00,Ignore
"FerozepurRoadHub_LUH Ludhiana",0.00,Ignore
"Ferozepurroadhub_Mitr Kangra",0.00,Ignore
FIROZABAD,0.00,Ignore
"Firozabad Hub",0.00,Ignore
"Firozabad Hub Firozabad",0.00,Ignore
"Firozabad1, Firozabad, UTTAR PRADESH",0.00,Ignore
FIROZEPUR,0.00,Ignore
fkl_DELFlexYakubpur,0.00,Ignore
FKL_farukngr,0.00,Ignore
FKL_hydpatan,0.00,Important
FKL_hydpatan_EXT,0.00,Important
FKL_IndoreNew,0.00,Ignore
FKL_Jaipur_BTS,0.00,Ignore
FKL_JKS,0.00,Ignore
fkl_LKO,0.00,Ignore
fkl_LUDFlex,0.00,Ignore
fkl_NAGBTS01,0.00,Ignore
fkl_STVBTS01,0.00,Important
FKL_ulbesr,0.00,Ignore
Fkl-ahmedabad01,0.00,Ignore
Fkl-BLRAnjaniHoskote,0.00,Ignore
fkl-Coimbatore,0.00,Ignore
Fkl-COKBTS,0.00,Ignore
Fkl-fwdchennai,0.00,Ignore
Fkl-KalashHRNWB,0.00,Important
FKL-LKO_flex,0.00,Ignore
fkl-mhmalur_EXT,0.00,Ignore
Fkl-MUMFlexSai4_EXT,0.00,Important
fkl-pune,0.00,Ignore
FocalPointHub_LUH,0.00,Ignore
"FocalPointHub_LUH Ludhiana",0.00,Ignore
"Food blast RUPNAGAR",0.00,Ignore
Forbesganj,0.00,Ignore
"ForbesganjHub_FBG Forbesganj",0.00,Ignore
Forbisganj,0.00,Ignore
"Fort Hub Mumbai",0.00,Ignore
"Fouzi Fabricatiors Store BADAUN",0.00,Ignore
"Fulbarihat, Fulbari Hat, WEST BENGAL",0.00,Ignore
"FULERTAL, fulertal, ASSAM",0.00,Ignore
"Fuleswar, Fuleswar, WEST BENGAL",0.00,Ignore
"G. UDAYAGIRI",0.00,Ignore
GachibowliHub_Hyd,0.00,Ignore
"GachibowliHub_Hyd Hyderabad",0.00,Ignore
Gadag,0.00,Ignore
GADAG-BETIGERI,0.00,Ignore
"Gadag1, Gadag, KARNATAKA",0.00,Ignore
Gadarpur,0.00,Ignore
"GadarpurMDH_GSR Gadarpur",0.00,Ignore
"Gadchandur, Gadchandur, MAHARASHTRA",0.00,Ignore
"Gadchiroli, Gadchiroli, MAHARASHTRA",0.00,Ignore
"GadchiroliHub_GDC Gadchiroli",0.00,Ignore
"Gadhingalaj, Gadhingalaj, MAHARASHTRA",0.00,Ignore
GADHINGLAJ,0.00,Ignore
"Gadoya kirana Store SURAT",0.00,Ignore
GADWAL,0.00,Ignore
"Gagal, GAGAL, HIMACHAL PRADESH",0.00,Ignore
"GagaNagarHub_MEE Meerut",0.00,Ignore
"GAJAPATHINAGARAM REACH",0.00,Ignore
GAJAPATI,0.00,Ignore
"Gajendra Ramamoorthy THANJAVUR",0.00,Ignore
Gajipatinagaram,0.00,Ignore
"GajipatinagaramHub_VZM Gajipatinagaram",0.00,Ignore
GAJRAULA,0.00,Ignore
"Gajrola, Gajrola, UTTAR PRADESH",0.00,Ignore
"Gajuwaka Hub",0.00,Ignore
"Gajuwaka Hub Vishakapatnam",0.00,Ignore
Gajwel,0.00,Ignore
"GAJWEL REACH",0.00,Ignore
"Gamharia, GamhariaJH, JHARKHAND",0.00,Ignore
"GampalagudemHub_GPG Krishna",0.00,Ignore
GANAUR,0.00,Ignore
GANDEVI,0.00,Ignore
"GANDHI NAGAR - GAN",0.00,Ignore
"GANDHI NAGAR (GANR)",0.00,Ignore
"Gandhi Nagar Hub",0.00,Ignore
"Gandhi Nagar Hub Gandhinagar",0.00,Ignore
"GANDHIBAZAARHUB_ATP ANANTAPUR",0.00,Ignore
"GANDHIDHAM HUB",0.00,Ignore
"Gandhidham Hub Gandhidham",0.00,Ignore
"Gandhidham, Gandhidham, GUJARAT",0.00,Ignore
"GANDHINAGAR SAGAR",0.00,Ignore
"Gandhinagar, Gandhinagar, GUJARAT",0.00,Ignore
"GandhiNagar, Gujarat, IN",0.00,Ignore
"GANDIKOTA KEERTHI ELURU",0.00,Ignore
"GANDIKOTAHUB_PDT MYDUKUR",0.00,Ignore
"Ganesh general store GURGAON",0.00,Ignore
"Ganesh Home MAYILADUTHURAI",0.00,Ignore
GANESHAPURAM,0.00,Ignore
"Ganga devi Sudh Bhojnalay HISAR",0.00,Ignore
"Gangadhar House BALASORE",0.00,Ignore
"Gangajalghati, Bankura, WEST BENGAL",0.00,Ignore
ganganagar,0.00,Ignore
GanganagarHub_BLR,0.00,Ignore
"GanganagarHub_BLR BANGALORE",0.00,Ignore
GANGANI,0.00,Ignore
"GanganiHub_GNN GANGANI",0.00,Ignore
"GANGAPUR CITY",0.00,Ignore
"Gangapur, Gangapur, RAJASTHAN",0.00,Ignore
GANGARAMPUR,0.00,Ignore
"Gangarampur, GANGARAMPUR, WEST BENGAL",0.00,Ignore
"GangasaraiMDH_LKR Lakhisarai",0.00,Ignore
GANGAVATHI,0.00,Ignore
"Gangavathi2, GANGAVATHI, KARNATAKA",0.00,Ignore
"GangavathiHub_GVT Gangavathi",0.00,Ignore
Gangtok,0.00,Ignore
"Gangtok, Sikkim, IN",0.00,Ignore
"Gangtok3, GANGTOK, SIKKIM",0.00,Ignore
GangtokHub_GGT,0.00,Ignore
"Ganjam, ODISHA, IN",0.00,Ignore
GANJBASODA,0.00,Ignore
GANNAVARAM,0.00,Ignore
"GANNAVARAM, Gannavaram, ANDHRA PRADESH",0.00,Ignore
"GannavaramHub_GVM VIJAYAWADA",0.00,Ignore
GaraHub_SKM,0.00,Ignore
"GaraHub_SKM SRIKAKULAM",0.00,Ignore
"Gardencityhub_MYS Mysore",0.00,Ignore
"GardenReachHub_KOL Kolkata",0.00,Ignore
"Gardhiwala, Hoshiarpur, PUNJAB",0.00,Ignore
"GarhShankar, Garhshankar, PUNJAB",0.00,Ignore
Garhwa,0.00,Ignore
"GARHWA OFFICE",0.00,Ignore
"GarhwaHub_GHQ Garhwa",0.00,Ignore
"GARIA BDEL",0.00,Ignore
"Garia Hub",0.00,Ignore
"Garia Hub Kolkata",0.00,Ignore
"Garib Nawaz store VADODARA",0.00,Ignore
"GARIVIDI REACH",0.00,Ignore
"Garwar, Garwar, UTTAR PRADESH",0.00,Ignore
"Gathda, Gathda, GUJARAT",0.00,Ignore
"GAU WAREHOUSE",0.00,Ignore
"GAU/BGH, Guwahati, ASSAM",0.00,Ignore
"GAU/JLK, Guwahati, ASSAM",0.00,Ignore
"GAU/Lankeswar-TML, Guwahati, ASSAM",0.00,Ignore
"GAU/RTO, Guwahati, ASSAM",0.00,Ignore
"GAU/SML, Guwahati, ASSAM",0.00,Ignore
Gauchar,0.00,Ignore
Gaulapar,0.00,Ignore
"Gaurav GHAZIABAD",0.00,Ignore
"GAURAV MOTORS UDAIPUR",0.00,Ignore
Gaurella,0.00,Ignore
"Gauri Store MIRZAPUR",0.00,Ignore
GAURIBIDANUR,0.00,Ignore
"Gauriganj, Gauriganj, UTTAR PRADESH",0.00,Ignore
Gaurisagar,0.00,Ignore
"GaurisagarMDH_SBS Gaurisagar",0.00,Ignore
"GAUTAM BUDDHA NAGAR",0.00,Ignore
"Gautam NEW DELHI",0.00,Ignore
"Gautam Niwas SHRIRAMPUR",0.00,Ignore
GautamnagarHub_BBI,0.00,Ignore
"GautamnagarHub_BBI Bhubaneswar",0.00,Ignore
Gaya,0.00,Ignore
"Gaya Hub",0.00,Ignore
"Gaya Hub Gaya",0.00,Ignore
"GAYA, Gaya, BIHAR",0.00,Ignore
"GayaSplitHub2_GAY Gaya",0.00,Ignore
"Gayathri store DINDIGUL",0.00,Ignore
GAZIPUR,0.00,Ignore
GAZOLE,0.00,Ignore
"Geeta kirana shop NEW DELHI",0.00,Ignore
"Geeta NEW DELHI",0.00,Ignore
"Geeta services KANPUR",0.00,Ignore
"GeorgeTown Hub",0.00,Ignore
"GeorgeTown Hub Allahabad",0.00,Ignore
Ghana,0.00,Ignore
"GhanasawangiMDH_GHA Ghana",0.00,Ignore
"GHANPUR REACH",0.00,Ignore
"GHANSHYAM STORE NEW DELHI",0.00,Ignore
GhansoliHub_MUM,0.00,Ignore
"GhansoliHub_MUM Mumbai",0.00,Ignore
"Gharghoda, Gharghoda, CHHATTISGARH",0.00,Ignore
Gharonda,0.00,Ignore
"Gharsana, GHARSANA, RAJASTHAN",0.00,Ignore
"GharundaODH_GRD Gharonda",0.00,Ignore
"Ghatagaon, GHATAGAON, ORISSA",0.00,Ignore
GHATAL,0.00,Ignore
"Ghataprabha, Gokak, KARNATAKA",0.00,Ignore
"GHATKESAR REACH",0.00,Ignore
"Ghatshila, Ghatshila, JHARKHAND",0.00,Ignore
"GHAZIABAD (GZBD)",0.00,Ignore
"GHAZIABAD GT ROAD",0.00,Ignore
"Ghaziabad Hub",0.00,Ignore
"Ghaziabad Hub Ghaziabad",0.00,Ignore
"Ghaziabadðð, Uttar Pradesh, IN",0.00,Ignore
GHAZIPUR,0.00,Ignore
"Ghazipur, Ghazipur, UTTAR PRADESH",0.00,Ignore
"Ghazipur, UTTAR PRADESH, IN",0.00,Ignore
"GhazipurHub_GIR Ghazipur",0.00,Ignore
"GhilamaraMDH_DMC Dhakuakhana",0.00,Ignore
GhitorniHub_DEL,0.00,Ignore
"GhitorniHub_DEL Chhatarpur",0.00,Ignore
"Ghodbunder Hub",0.00,Ignore
"Ghodbunder Hub Thane",0.00,Ignore
"GhoiasahanMDH_Ghn Ghoisahan",0.00,Ignore
Ghoisahan,0.00,Ignore
"Ghosi, Ghosi, UTTAR PRADESH",0.00,Ignore
"Ghoti, Nashik, MAHARASHTRA",0.00,Ignore
GHUMARWIN,0.00,Ignore
GiaipuraOSH_LUH,0.00,Ignore
"GiaipuraOSH_LUH Ludhiana",0.00,Ignore
"GIDC PANOLI, GUJARAT, IN",0.00,Ignore
"GIDC SAVLI, GUJARAT, IN",0.00,Ignore
GIDDALUR,0.00,Ignore
"GiddalurHub_GDR GIDDALUR",0.00,Ignore
Gidderbaha,0.00,Ignore
"GINDY COD PROCESSING UNIT",0.00,Ignore
"GIRIDIH OFFICE",0.00,Ignore
"Giridih, GIRIDIH, JHARKHAND",0.00,Ignore
"GIRIJA TIRUCHIRAPPALLI",0.00,Ignore
"GIRISH PARK BDEL",0.00,Ignore
"Girish store NEW DELHI",0.00,Ignore
GIRWA,0.00,Ignore
"GKP/LH1, Gorakhpur, UTTAR PRADESH",0.00,Ignore
"GKP/MRD, Gorakhpur, UTTAR PRADESH",0.00,Ignore
"GKP/NSD, Gorakhpur, UTTAR PRADESH",0.00,Ignore
GnanabharathiOSH_BLR,0.00,Ignore
"GnanabharathiOSH_BLR Bangalore",0.00,Ignore
"GOA (GOIH)",0.00,Ignore
"Goalpokher, Goalpokher, WEST BENGAL",0.00,Ignore
Gobichettipalayam,0.00,Ignore
"GobichettipalayamHub_GOB Gobichettipalayam",0.00,Ignore
Gobindgarh,0.00,Ignore
"Gobindgarh Hub Gobindgarh",0.00,Ignore
Godavarikhani,0.00,Ignore
"GodavarikhaniHub_GDK Godavarikhani",0.00,Ignore
"GODDA OFFICE",0.00,Ignore
"Godda, Godda, JHARKHAND",0.00,Ignore
GODHRA,0.00,Ignore
"GODHRA EXTENSION",0.00,Ignore
"Godhra Hub",0.00,Ignore
"Godhra Hub Godhra",0.00,Ignore
"Godhra, Godhra, GUJARAT",0.00,Ignore
Gogamukh,0.00,Ignore
GogamukhHub_GOM,0.00,Ignore
"Gohad, Gohad, MADHYA PRADESH",0.00,Ignore
GOHANA,0.00,Ignore
"Gohana, Gohana, HARYANA",0.00,Ignore
GOHPUR,0.00,Ignore
"GOHPUR, GOHPUR, ASSAM",0.00,Ignore
GOKAK,0.00,Ignore
"Gokarna, GOKARNA, KARNATAKA",0.00,Ignore
"GOKAVARAM, ANDHRA PRADESH, IN",0.00,Ignore
"GOLA GORAKHNATH",0.00,Ignore
"GOLA OFFICE",0.00,Ignore
"Gola UP, GOLA UP, UTTAR PRADESH",0.00,Ignore
"Gola, GOLA JH, JHARKHAND",0.00,Ignore
"GOLAGHAT OFFICE",0.00,Ignore
"GOLAGHAT, GOLAGHAT, ASSAM",0.00,Ignore
Goldencity,0.00,Ignore
"GoldencityHub_KGM Goldencity",0.00,Ignore
"GolgharHub_GOP Gorakhpur",0.00,Ignore
"GOLOKGANJ, Agomoni, ASSAM",0.00,Ignore
"GOMATI NAGAR LUCKNOW (GOMN)",0.00,Ignore
"GOMOH OFFICE",0.00,Ignore
GONDA,0.00,Ignore
"Gonda, Gonda, UTTAR PRADESH",0.00,Ignore
"Gonda, Uttar Pradesh, IN",0.00,Ignore
"GondaHub_GND Gonda",0.00,Ignore
GONDAL,0.00,Ignore
"Gondal, Gondal, GUJARAT",0.00,Ignore
GondalHub_GDN,0.00,Ignore
GONDIA,0.00,Ignore
"GONDIA - GNI",0.00,Ignore
"Gondia, Gondia, MAHARASHTRA",0.00,Ignore
"Goniana, Goniana, PUNJAB",0.00,Ignore
GONIGOPPA,0.00,Ignore
gooty,0.00,Ignore
"GootyHub_GTY gooty",0.00,Ignore
"GOPALGANJ OFFICE",0.00,Ignore
"Gopalganj, Gopalganj, BIHAR",0.00,Ignore
GOPESHWAR,0.00,Ignore
"Gopiballavpur, Gopiballavpur, WEST BENGAL",0.00,Ignore
GOPICHETTIPALAYAM,0.00,Ignore
"Gopichettipalyam, Gopichettipalyam, TAMIL NADU",0.00,Ignore
"Gopiganj, Gopiganj, UTTAR PRADESH",0.00,Ignore
"GOPINATH BAZAR HUB",0.00,Important
"Gorakhnath, Gorakhpur, UTTAR PRADESH",0.00,Ignore
Gorakhpur,0.00,Ignore
"GORAKHPUR - GKP",0.00,Ignore
"Gorakhpur Hub",0.00,Ignore
"Gorakhpur Hub Gorakhpur",0.00,Ignore
"GORAKHPUR WAREHOUSE",0.00,Ignore
"GORAKHPUR, UTTAR PRADESH, IN",0.00,Ignore
GORAYA,0.00,Ignore
"Goregaon Hub",0.00,Ignore
Gosaba,0.00,Ignore
"Goshala, Goshala, ORISSA",0.00,Ignore
GOSSAIGAON,0.00,Ignore
"GOSSAIGAON, Gossaigaon, ASSAM",0.00,Ignore
"GOTA TEMP PUD",0.00,Ignore
"Gotan, GOTAN, RAJASTHAN",0.00,Ignore
"GOVANDI MIX SC",0.00,Ignore
Govindpur,0.00,Ignore
"Govindpur, GOVINDPUR, JHARKHAND",0.00,Ignore
"GOVINDPURA E TAIL DELIVER",0.00,Ignore
"GovindpurMDH_DBD Dhanbad",0.00,Ignore
Gowribidanur,0.00,Ignore
"Gozaria, Mehsana, GUJARAT",0.00,Ignore
"GREATER NOIDA",0.00,Ignore
"GREATER NOIDA (GRND)",0.00,Ignore
"GREATER NOIDA, UTTAR PRADESH, IN",0.00,Ignore
"GreaterNoida Hub",0.00,Ignore
"GreaterNoida Hub Noida",0.00,Ignore
"GTR/LPM, Guntur, ANDHRA PRADESH",0.00,Ignore
"Gubbi, Gubbi, KARNATAKA",0.00,Ignore
GUDALUR,0.00,Ignore
"GUDALUR THE NILGIRIS DISTRICT, TAMIL NADU, IN",0.00,Ignore
"Gudha Gorji, GUDHA GORJI, RAJASTHAN",0.00,Ignore
"Gudivada, Andhra Pradesh, IN",0.00,Ignore
"Gudivada1, Gudivada, ANDHRA PRADESH",0.00,Ignore
Gudiwada,0.00,Ignore
"GUDIWADA REACH",0.00,Ignore
"GudiwadaHub_GDV Gudiwada",0.00,Ignore
GUDIYATHAM,0.00,Ignore
"GUDIYATHAM REACH",0.00,Ignore
Gudiyattam,0.00,Ignore
GUDUR,0.00,Ignore
"GUDUR REACH",0.00,Ignore
"Gudur, Gudur, ANDHRA PRADESH",0.00,Ignore
"GudurHub_GUD GUDUR",0.00,Ignore
"Guhagar, Guhagar, MAHARASHTRA",0.00,Ignore
GUHAGHAR,0.00,Ignore
GULABPURA,0.00,Ignore
Gulbarga,0.00,Important
"Gulbarga Hub",0.00,Ignore
"Gulbarga Hub Gulbarga",0.00,Ignore
"Gumia, Gumia, JHARKHAND",0.00,Ignore
GUMLA,0.00,Ignore
"Gumla1, Gumla, JHARKHAND",0.00,Ignore
"GumlaHub_GMA Gumla",0.00,Ignore
"Gumti Hub",0.00,Ignore
"Gumti Hub Kanpur",0.00,Ignore
"Guna1, Guna, MADHYA PRADESH",0.00,Ignore
"GunaHub_GUN Guna",0.00,Ignore
Gunderdehi,0.00,Ignore
"GunderdehiHub_GUN Gunderdehi",0.00,Ignore
GUNTAKAL,0.00,Ignore
"Guntakal, GUNTAKAL, ANDHRA PRADESH",0.00,Ignore
"GuntakalHub_GTL Guntakal",0.00,Ignore
Guntur,0.00,Ignore
"GUNTUR TRANSIT HUB",0.00,Ignore
"Guntur, Guntur, ANDHRA PRADESH",0.00,Ignore
"GunturMDH_GUN Guntur",0.00,Ignore
GUNUPUR,0.00,Ignore
GunupurHub_GNP,0.00,Ignore
"Gupta mobile  World PHAGWARA",0.00,Ignore
"Gupta Store GHAZIPUR",0.00,Ignore
"Gupta Store NEW DELHI",0.00,Ignore
"GUPTIPARA, GUPTIPARA, WEST BENGAL",0.00,Ignore
GURAP,0.00,Ignore
Gurazala,0.00,Ignore
"GurazalaMDH_GZA Gurazala",0.00,Ignore
GURDASPUR,0.00,Ignore
"Gurdaspur Hub Gurdaspur",0.00,Ignore
"Gurdaspur, Gurdaspur, PUNJAB",0.00,Ignore
"GURGAON (SKHX)",0.00,Ignore
"Gurgaon Hub",0.00,Ignore
"Gurgaon Hub Gurgaon",0.00,Ignore
"Gurgaon Manesar Hub",0.00,Ignore
"Gurgaon Manesar Hub Gurgaon",0.00,Ignore
GurgaonMilestoneHub_DEL,0.00,Ignore
"GurgaonMilestoneHub_DEL Gurugram",0.00,Ignore
"Gurmeet Singh ZZZ GIDDERBAHA",0.00,Ignore
"Gurrampati Raja Shekar Reddy master kirana KADAPA",0.00,Ignore
"Gursharan singh dhillon GURDASPUR",0.00,Ignore
"Gurtej Store NEW DELHI",0.00,Ignore
"Guru kripa dry cleaners NEW DELHI",0.00,Ignore
"Guru Trading Company SANGRUR",0.00,Ignore
Gurugram,0.00,Ignore
"GURUKRUPA KIRANA STORE NANDURBAR",0.00,Ignore
Gurusahaiganj,0.00,Ignore
"Gurusarai, Gurusarai, UTTAR PRADESH",0.00,Ignore
Guruvayoor,0.00,Ignore
"GuruvayoorHub_GYO Guruvayoor",0.00,Ignore
GURUVAYUR,0.00,Ignore
"Guruvayur, Guruvayur, KERALA",0.00,Ignore
Guskhara,0.00,Ignore
"GUWAHATI BELTOLA COD",0.00,Ignore
"GWALIOR - GWL",0.00,Ignore
"GWALIOR E-TAIL",0.00,Ignore
"GWALIOR MINI HUB",0.00,Ignore
"Gwalior, Gwalior, MADHYA PRADESH",0.00,Ignore
"GWALIOR, MADHYA PRADESH, IN",0.00,Ignore
"GwaliorHub_GWL Gwalior",0.00,Ignore
"GWL/HUB, Gwalior, MADHYA PRADESH",0.00,Ignore
"GWL/LSK, Gwalior, MADHYA PRADESH",0.00,Ignore
"Gyaneshwar Storr NEW DELHI",0.00,Ignore
"GyanpurMDH_GYN Jangiganj",0.00,Ignore
"GZB/MHN1, Delhi NCR, DELHI",0.00,Ignore
"H D Kirana Shop NAGPUR",0.00,Ignore
HABRA,0.00,Ignore
"SREERAG HOME ALAPPUZHA",0.00,Ignore
"SRI Devi auto consultant u0026 Travels KRISHNAGIRI",0.00,Ignore
"Sri Ganganagar",0.00,Ignore
"Sri Muthalamman Leath Works DINDIGUL",0.00,Ignore
SRIGANGANAGAR,0.00,Ignore
"SriGanganagar Hub",0.00,Ignore
"SriGanganagar Hub Sri Ganganagar",0.00,Ignore
"SriGanganagar, Sriganganagar, RAJASTHAN",0.00,Ignore
SRIKAKULAM,0.00,Ignore
"SRIKAKULAM - CHE",0.00,Ignore
"Srikakulam, ANDHRA PRADESH, IN",0.00,Ignore
"Srikakulam, Srikakulam, ANDHRA PRADESH",0.00,Ignore
"SrikakulamHub_SKM Srikakulam",0.00,Ignore
SRIKALAHASTI,0.00,Ignore
"SRIKALAHASTI REACH",0.00,Ignore
"SrikalahastiHub_SKH Tirupati",0.00,Ignore
"Srikanth water supply BANGALORE",0.00,Ignore
"SRIKONA, SRIKONA, ASSAM",0.00,Ignore
"Srikrishna Basak Home RAIGANJ",0.00,Ignore
"SrikshetraODH_PUR Puri",0.00,Ignore
"SRINAGAR GARHWAL",0.00,Ignore
"Srinagargarhwal, Srinagar Garhwal, UTTARAKHAND",0.00,Ignore
SrinagarHub_SRG,0.00,Ignore
SrinagarHubtemp_SRG,0.00,Ignore
"SrinagarHubtemp_SRG Srinagar",0.00,Ignore
"SrinagarKAHub_BLR Bengaluru",0.00,Ignore
"SrinagarUKHub_SRI SRINAGAR",0.00,Ignore
SRIPERUMBUDUR,0.00,Ignore
"Sripur Bazar, Asansol, WEST BENGAL",0.00,Ignore
SRIRANGAM,0.00,Ignore
Srirangapatna,0.00,Ignore
"Srirangapatna, Srirangapatna, KARNATAKA",0.00,Ignore
"SrirangapatnaHub_SRP Srirangapatna",0.00,Ignore
"Srivilliputhurhub_SVPR Virudhunagar",0.00,Ignore
"SRT/ADJ, Surat, GUJARAT",0.00,Ignore
"SRT/KTG, Surat, GUJARAT",0.00,Ignore
"SRT/PC2, Surat, GUJARAT",0.00,Important
"SS Kirana store PATIALA",0.00,Ignore
"Star stationary MUMBAI",0.00,Ignore
"STCNuraniMDH_NUR Palakkad",0.00,Ignore
"Subaida home KALPETTA",0.00,Ignore
"Sudam mallick BERHAMPUR",0.00,Ignore
"Sudhir Majanu Store NEW DELHI",0.00,Ignore
"SUDHIRKUMAR RAMI HIMATNAGAR",0.00,Ignore
"SUFDAR JUNG (SJEX)",0.00,Ignore
"SUGUNAN HOME THRISSUR",0.00,Ignore
SuhnatHub_BAW,0.00,Ignore
SUJANGARH,0.00,Ignore
"Sujangarh, Sujangarh, RAJASTHAN",0.00,Ignore
"Sujanpur Tira, SUJANPUR TIRA, HIMACHAL PRADESH",0.00,Ignore
"Sujanpur, Pathankot, PUNJAB",0.00,Ignore
"SujanpuraMDH_SJN Khargapur",0.00,Ignore
"SukaMDH_HWI Nainital",0.00,Ignore
"Sukiapokhri, Sukiapokhri, WEST BENGAL",0.00,Ignore
"Sukma, Sukma, CHHATTISGARH",0.00,Ignore
"SukmaHub_SUK jashpur",0.00,Ignore
"SukuliaparaMDH_TNG Udalguri",0.00,Ignore
SULAIMAN,0.00,Ignore
"SULEBHAVI, Belguam, KARNATAKA",0.00,Ignore
SULLIA,0.00,Ignore
"SULLIA, Sullia, KARNATAKA",0.00,Ignore
"SulliaHub_SUL Sullia",0.00,Ignore
SULLURPETA,0.00,Ignore
"SullurpetaHub_SLP NAIDUPETA",0.00,Ignore
"SULLURU, ANDHRA PRADESH, IN",0.00,Ignore
"Sultan CHHINDWARA",0.00,Ignore
"Sultana, Sultana, RAJASTHAN",0.00,Ignore
"SultanBatheryHub_SBE Mutil",0.00,Ignore
"Sultanganj1, Sultanganj, BIHAR",0.00,Ignore
SULTANPUR,0.00,Ignore
"SULTANPUR LODHI",0.00,Ignore
"Sultanpur Lodhi, SULTANPUR LODHI, PUNJAB",0.00,Ignore
"Sultanpur Rj, Sultanpur RJ, RAJASTHAN",0.00,Ignore
"Sultanpur, Sultanpur, UTTAR PRADESH",0.00,Ignore
"Sultanpur, UTTAR PRADESH, IN",0.00,Ignore
"SultanpurHub_STP Sultanpur",0.00,Ignore
"SULTHAN BATHERY",0.00,Ignore
SULUR,0.00,Ignore
"SulurHub_CJB Coimbatore",0.00,Ignore
"SUMAN HOME PATHANKOT",0.00,Ignore
"SUMAN STORE NEW DELHI",0.00,Ignore
"Sumerpur, Sumerpur, RAJASTHAN",0.00,Ignore
"Sumit Das ALIPURDUAR",0.00,Ignore
"Sumit Laundry AURANGABAD",0.00,Ignore
Sunam,0.00,Ignore
"Sunam, SUNAM, PUNJAB",0.00,Ignore
Sundargarh,0.00,Ignore
"Sunder Nagar",0.00,Ignore
"Sunder Nagar HP, Sunder Nagar, HIMACHAL PRADESH",0.00,Ignore
